Código,Título,Curso,Conv.
20200201,2020_02_01_NUEO,2019/2021,Feb
20210201,2022_02_01_NUEO_VV,2020/2021,Feb
20210201_1,2022_02_01_1_NUEO_AvEx,2020/2021,Feb
20210201_2,2022_02_01_2_NUEO_AvEx,2020/2021,Feb
20210901,2021_09_01_NUEO,2020/2021,Sep
20220201,2022_02_01_NUEO_VV,2021/2022,Feb
20220202,2022_02_02_NUER_VV,2021/2022,Feb
20220910,2022_09_01_NUEO_VV,2021/2022,Sep
20230201,2022_02_01_NUEO_VV,2022/2023,Feb
20230202,2023_02_02_NUER_VV,2022/2023,Feb
20230905,-,2022/2023,Sep
20240202,2024_02_02_NUER_VV,2023/2024,Feb
20240208,2023_02_01_NUEO_VV,2023/2024,Feb
20240903,-,2023/2024,Sep
20250201,20250201_NUEO_VV,2024/2025,Feb
20250202,20250202_NUEO_VV,2024/2025,Feb
20250903,-,2024/2025,Sep
