Código,Título,Curso,Convocatoria,Sesión
20200201,2020_02_01_NUEO,2019/2021,Feb,Ordinaria
20210201,2022_02_01_NUEO_VV,2020/2021,Feb,Ordinaria
20210201_1,2022_02_01_1_NUEO_AvEx,2020/2021,Feb,Ordinaria
20210201_2,2022_02_01_2_NUEO_AvEx,2020/2021,Feb,Reserva
20210901,2021_09_01_NUEO,2020/2021,Sep,Ordinaria
20220201,2022_02_01_NUEO_VV,2021/2022,Feb,Ordinaria
20220202,2022_02_02_NUER_VV,2021/2022,Feb,Ordinaria
20220910,2022_09_01_NUEO_VV,2021/2022,Sep,Ordinaria
20230201,2022_02_01_NUEO_VV,2022/2023,Feb,Ordinaria
20230202,2023_02_02_NUER_VV,2022/2023,Feb,Reserva
20230905,-,2022/2023,Sep,Ordinaria
20240202,2024_02_02_NUER_VV,2023/2024,Feb,Reserva
20240208,2023_02_01_NUEO_VV,2023/2024,Feb,Ordinaria
20240903,-,2023/2024,Sep,Ordinaria
20250201,20250201_NUEO_VV,2024/2025,Feb,Ordinaria
20250202,20250202_NUEO_VV,2024/2025,Feb,Ordinaria
20250903,-,2024/2025,Sep,Ordinaria
